iter	Passed	Remaining
0	142	142113
1	145	72756
2	150	49874
3	153	38134
4	156	31089
5	159	26403
6	162	23015
7	164	20452
8	168	18510
9	171	16957
10	174	15658
11	177	14600
12	181	13756
13	184	13009
14	188	12392
15	193	11889
16	197	11438
17	201	10995
18	206	10646
19	211	10347
20	217	10129
21	221	9854
22	225	9587
23	230	9360
24	234	9160
25	239	8965
26	245	8836
27	249	8651
28	253	8501
29	258	8352
30	263	8231
31	267	8078
32	271	7959
33	276	7849
34	280	7741
35	284	7614
36	287	7491
37	291	7376
38	294	7253
39	297	7135
40	300	7027
41	303	6933
42	307	6840
43	310	6745
44	313	6658
45	317	6579
46	321	6520
47	325	6460
48	328	6382
49	332	6313
50	337	6272
51	340	6213
52	345	6171
53	348	6111
54	352	6058
55	357	6021
56	361	5976
57	365	5937
58	369	5896
59	373	5849
60	376	5797
61	379	5746
62	383	5699
63	386	5651
64	389	5606
65	392	5561
66	396	5523
67	401	5498
68	404	5464
69	408	5422
70	411	5385
71	414	5339
72	417	5300
73	420	5262
74	423	5220
75	426	5181
76	429	5147
77	433	5128
78	437	5095
79	440	5063
80	443	5029
81	446	4994
82	449	4963
83	452	4934
84	455	4898
85	458	4870
86	462	4848
87	466	4829
88	470	4818
89	474	4793
90	477	4767
91	480	4739
92	482	4709
93	486	4685
94	489	4662
95	492	4641
96	496	4623
97	500	4603
98	503	4581
99	506	4561
100	510	4543
101	513	4524
102	517	4505
103	520	4486
104	524	4470
105	527	4450
106	530	4430
107	534	4413
108	537	4397
109	541	4379
110	544	4361
111	547	4342
112	550	4321
113	553	4302
114	556	4286
115	560	4267
116	563	4250
117	566	4235
118	569	4216
119	572	4199
120	575	4181
121	578	4164
122	581	4145
123	584	4128
124	587	4114
125	591	4100
126	594	4086
127	597	4070
128	600	4052
129	603	4035
130	606	4020
131	608	4004
132	612	3991
133	615	3977
134	618	3963
135	622	3951
136	625	3939
137	628	3925
138	631	3911
139	634	3899
140	637	3884
141	640	3872
142	644	3859
143	647	3846
144	650	3835
145	653	3823
146	656	3811
147	659	3799
148	663	3787
149	666	3775
150	669	3764
151	672	3752
152	676	3744
153	679	3731
154	682	3723
155	686	3715
156	690	3707
157	693	3696
158	697	3687
159	700	3678
160	703	3667
161	707	3657
162	709	3644
163	712	3633
164	716	3627
